,Date,Open,High,Low ,Close,Volume ,Market Cap
76,2020-04-29,198.47,218.45,198.12,216.97,26397548759,24023887081
77,2020-04-28,197.27,198.79,194.85,198.42,18217507467,21966890357
78,2020-04-27,197.48,199.55,193.45,197.22,18670194595,21832392036
79,2020-04-26,195.41,199.34,194.77,197.32,18335367012,21839976557
80,2020-04-25,189.21,196.79,188.46,195.52,18260969748,21637838417
81,2020-04-24,185.22,190.21,185.22,189.24,16788555028,20940434737
82,2020-04-23,182.62,189.09,180.34,185.03,21275740032,20472236139
83,2020-04-22,172.67,183.75,171.83,182.6,17994666395,20200984352
84,2020-04-21,172.02,175.18,170.55,172.74,16458767984,19107591182
85,2020-04-20,181.48,186.08,170.32,172.3,21266681335,19056520718
86,2020-04-19,186.86,188.1,180.12,181.61,19146038381,20084614446
87,2020-04-18,171.62,187.94,171.62,186.91,20160323443,20668075857
88,2020-04-17,172.28,174.28,169.75,171.64,16714684266,18976660194
89,2020-04-16,153.2,173.16,150.36,172.16,22910469236,19031693317
90,2020-04-15,157.57,160.71,152.8,153.29,14171753737,16943501886
91,2020-04-14,156.36,160.94,155.87,157.6,14723156630,17417697024
92,2020-04-13,160.72,160.75,151.61,156.28,16465282133,17270031992
93,2020-04-12,158.23,164.52,156.32,161.14,15123721386,17805206568
94,2020-04-11,158.54,161.17,155.3,158.22,13555089447,17479687023
95,2020-04-10,170.83,170.95,154.91,158.41,17980944616,17499250378
96,2020-04-09,172.76,172.9,167.99,170.81,14901696210,18866106818
97,2020-04-08,165.24,173.21,164.49,172.64,17063110836,19066388908
98,2020-04-07,169.15,175.2,164.2,165.1,21659346091,18231455422
99,2020-04-06,143.61,169.27,143.54,169.14,21636382525,18674571701
100,2020-04-05,145.26,146.13,142.1,143.55,11280993591,15847283514
101,2020-04-04,142.22,145.38,140.12,145.22,11946658257,16029973618
102,2020-04-03,142.11,146.9,139.62,142.09,13184603402,15682757538
103,2020-04-02,135.73,146.79,135.73,142.03,15322861686,15673960169
104,2020-04-01,133.61,135.63,129.73,135.63,12456564435,14966424710
105,2020-03-31,132.82,134.27,131.65,133.59,11065246317,14739376438
106,2020-03-30,125.58,133.91,125.29,132.9,11841123306,14661550831
107,2020-03-29,131.02,131.17,125.45,125.58,9938133669,13852241607
108,2020-03-28,134.03,134.03,126.96,130.99,12162403960,14446379743
109,2020-03-27,138.37,139.9,133.94,133.94,11396286629,14770071750
110,2020-03-26,136.19,138.83,134.89,138.36,11367261176,15255985586
111,2020-03-25,138.91,141.4,134.3,136.2,13433092920,15015344150
112,2020-03-24,135.19,141.95,133.17,138.76,14609068673,15296295171
113,2020-03-23,123.37,134.91,121.87,134.91,14149877968,14870079035
114,2020-03-22,132.85,136.15,122.91,123.32,12497707224,13590860527
115,2020-03-21,133.1,135.97,127.16,132.82,13684083308,14635764102
116,2020-03-20,136.65,150.85,122.61,132.74,18960388062,14624949757
117,2020-03-19,114.84,140.53,114.73,136.59,16396753275,15048018840
118,2020-03-18,113.86,116.02,111.74,114.84,11617854009,12650160818
119,2020-03-17,110.41,118.99,110.41,113.94,12087490572,12549513954
120,2020-03-16,125.0,125.0,105.17,110.61,15984904590,12180483053
121,2020-03-15,123.25,132.24,121.85,125.21,12719251813,13787534423
122,2020-03-14,133.58,134.48,122.41,123.31,12740784545,13575727275
123,2020-03-13,112.69,137.43,95.18,133.2,27864623061,14663417618
124,2020-03-12,194.74,195.15,111.21,112.35,22134741655,12366138225
125,2020-03-11,200.77,202.95,184.36,194.87,16984790291,21446678546
126,2020-03-10,202.86,205.71,198.06,200.77,18344930072,22093126953
